video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7270630037391543595,2023-08-23T14:18:08,71,US,14000,147,320,80300,I wish being autistic made you cool lol #actuallyautistic #neurodivergent #fyp ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7279813165943180586,2023-09-17T08:13:22,90,US,4005,37,89,24600,#fyp #actualyautistic #neurodivergent #autismburnout #unmaskingautism #audhd ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7279436358140038446,2023-09-16T07:51:05,69,US,4028,35,156,27800,#fyp #actualyautistic #pdaautism #neurodivergent ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7279118959826308394,2023-09-15T11:19:35,27,US,22000,310,595,141600,#fyp #neurodivergent #actualyautistic #audhd #adhd ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7279061748588498218,2023-09-15T07:37:37,67,US,51900,489,388,354800,#fyp #neurodivergent #actualyautistic #audhd #autisminchildren ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7278361596739472683,2023-09-13T10:20:28,64,US,65500,1345,670,277800,#fyp #neurodivergent #audhd #actualyautistic ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7278361596739472683,2023-09-13T10:20:28,64,US,65500,1345,670,278000,#fyp #neurodivergent #audhd #actualyautistic ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7277991026285972779,2023-09-12T10:22:32,76,US,239900,3093,1604,1100000,Open ended instructions do not work for me #fyp #neurodivergent #actualyautistic #audhd ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7277268002666499374,2023-09-10T11:36:45,82,US,10500,151,166,74300,Sharing how i felt incase anyone else feels this way❤️ #fyp #actualyautistic #audhd #neurodivergent #mentalhealth ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7277935692519361798,2023-09-12T06:47:35,218,CA,66600,365,574,394000,"#TW manipulation. hi if u stayed til the end of this video, im so sorry😂💩 ya, gonna do a lil series of ways my dad and i seem similar cause i think its a very interesting social dynamic to look at as far as autistic relationships go. my family is gonna hear stuff abt my dad and shun me for talking about it lol #autism #paigelayle #abuse ",False,,paigelayle,paigelayle,,,,,,True
7278282612681018667,2023-09-13T05:14:13,36,US,11800,79,68,60500,"Early in our marriage, I went over to Jason’s family’s house and played Monopoly. The night ended in my tears. I think I get it now.  #crunchymom #hobbyhorsing #homeschooling ",False,,reallyverycrunchy,ReallyVeryCrunchy,,,,,,True
7278282612681018667,2023-09-13T05:14:13,36,US,11800,79,68,60500,"Early in our marriage, I went over to Jason’s family’s house and played Monopoly. The night ended in my tears. I think I get it now.  #crunchymom #hobbyhorsing #homeschooling ",False,,reallyverycrunchy,ReallyVeryCrunchy,,,,,,True
