video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7277303805694233902,2023-09-10T13:55:44,113,US,4861,126,301,25900,An actual build video and not just my dumb face saying dumb things. Using a laser to inlay is way more accurate than what I was doing before. Each of these tirades gets me closer and closer to understanding the underlying themes of my ramblings and informs me on the direction i should be going. #woodworking #existentialcrisis #absurd #maker #woodshop #randomthoughts #fyp ,False,,lvworkshop,LVworkshop,,,,,,False
7277303805694233902,2023-09-10T13:55:44,113,US,4869,126,302,26000,An actual build video and not just my dumb face saying dumb things. Using a laser to inlay is way more accurate than what I was doing before. Each of these tirades gets me closer and closer to understanding the underlying themes of my ramblings and informs me on the direction i should be going. #woodworking #existentialcrisis #absurd #maker #woodshop #randomthoughts #fyp ,False,,lvworkshop,LVworkshop,,,,,,False
7277303805694233902,2023-09-10T13:55:44,113,US,4869,126,302,26000,An actual build video and not just my dumb face saying dumb things. Using a laser to inlay is way more accurate than what I was doing before. Each of these tirades gets me closer and closer to understanding the underlying themes of my ramblings and informs me on the direction i should be going. #woodworking #existentialcrisis #absurd #maker #woodshop #randomthoughts #fyp ,False,,lvworkshop,LVworkshop,,,,,,False
7277991026285972779,2023-09-12T10:22:32,76,US,109600,1226,824,488700,Open ended instructions do not work for me #fyp #neurodivergent #actualyautistic #audhd ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7277991026285972779,2023-09-12T10:22:32,76,US,109600,1226,824,488700,Open ended instructions do not work for me #fyp #neurodivergent #actualyautistic #audhd ,False,,morgaanfoley,Morgan Foley🧚‍♀️,,,,,,False
7278116049936043306,2023-09-12T18:27:37,94,US,65600,1216,488,264400,It hurt bad #fyp#storytime#tmi#funnyvideos#cactustate#777#999#southmouth#toddlermom#momlife#marriedlife#nocturnalanimals #lol ,False,,cactustate,Tatum my dude,,,,,,False
7277975728757509419,2023-09-12T09:23:21,276,US,117400,2036,1460,529600,cooked by case law welcome to class  ,False,,rebmasel,reb for the rebrand,,,,,,False
7276589536258313515,2023-09-08T15:43:55,138,US,75,0,7,976,Dandelions are great to eat! #botany #roommates #prank #roomate #horticulture ,False,,kglrtheroche,kglrtheroche,,,,,,False
7278349540992879877,2023-09-13T09:33:38,59,US,2082,59,24,23200,Aimlessness and anxiety are the same thing. @theovon,False,,dr.jordan.b.peterson,Dr Jordan B Peterson,,,,,,True
7278079220025183534,2023-09-12T16:04:41,89,US,86100,3618,724,603700,"We’ve got to work on work-life-balance, and by work, I mean less work, more life. #worklifebalance #corporatelife #job #corporateamerica ",False,,americanbaron,Baron Ryan,,,,,,True
7278066784710757675,2023-09-12T15:16:26,118,US,44100,50,65,399100,#tiktok #movie #fyp #film #foryou ,False,,movablemovie,Movable vvv,,,,,,False
7277974025115061547,2023-09-12T09:16:42,71,US,279400,900,1277,2500000,Coming Thursday to The Really Good Podcast with @Charlie Puth ,False,,bobbialthoff,Bobbi,,,,,,True
7277033522911595818,2023-09-09T20:26:51,336,US,33900,1242,1766,182200,"you are free, don't let anyone make you feel otherwise. do not buy into the lies they're trying to sell you. #real #fypシ #familytrauma #forward #stitch #love #daughters #generationalpain #blackwomen #honesty #introvert #release #neurodivergent #relationships #extrovert #milennials #genz #trend #women #lies #narctok #narcissism #healingjourney #deception #lookaround",False,,astoldbyrachel_,It's The Journey 🦋,,,,,,False
7276904289476578606,2023-09-09T12:05:23,7,US,36300,1188,163,449000,#Inverted my favorite scenario to make videos about. OH. FEEDING HER? Why didnt i think of that?!?! #momlife #momsoftiktok #babiesoftiktok #toddlerlife #toddlermom #marriedlife #husbandwife ,False,,annaleegrace15,Annalee,,,,,,False
7276881425889119518,2023-09-09T10:36:55,28,US,10800,55,917,80200,Replying to @Olyvia siloing the young and the old has consequences! They are humanity and you!! Are human!!! #urgent #psa #society #culture #funfacfs #human ,False,,oddpride,Astrid Lundberg,,,,,,False
7278064216320363818,2023-09-12T15:06:29,26,US,97800,1892,147,826400,Tell me why i was conditioned to be happy with a 50/100 😭😭 #engineer #engineering #college #student #exam #engineeringexams #finals #freshman #physics #curve #mechanicalengineering #mechanical #computerscience #code #coding #electrical ,False,,zak_the_engineer,zak_the_engineer,,,,,,False
7277764210795367722,2023-09-11T19:42:19,60,US,10500,898,154,72500,Replying to @fatboi_cartman i got u fam #gospelbygenz #fyp #funny #fyppppppppppppppppppppppp #fypシ #xyzbca #rizz ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7278133351276449067,2023-09-12T19:34:48,60,US,2580,96,52,19200,Replying to @sarrahtagliarinio got u fam 💪 #gospelbygenz #fyp #funny #fyppppppppppppppppppppppp #fypシ #xyzbca #w  ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7275475188777798958,2023-09-05T15:39:39,60,US,3999,381,97,33600,Replying to @hotgluenhope 🫡 #gospelbygenz #fyp #millennial #funny #fypシ #storytime #fakebody ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274727144037666091,2023-09-03T15:16:56,60,US,15800,1702,343,105600,Replying to @joeymalley1 ngl you all make my day 🥹 #gospelbygenz #fyp #fakebody #momlifebelike #dadsoftiktok #bible #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274366593042287914,2023-09-02T15:57:47,60,US,36700,3919,510,253700,Replying to @abi_glz03 is this what writing poetry feels like? #gospelbygenz #fyp #millennial #fypシ #funny #xyzbca #storytime ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274267345592274218,2023-09-02T09:32:38,60,US,2152,118,53,22000,Replying to @Mause Tot Matthew 14:1-12  #gospelbygenz #fyp #millennial #fypシ #funny #xyzbca #grwm ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274073629921430827,2023-09-01T21:00:55,60,US,6119,253,90,49700,Replying to @cindylallybroch he caught doin the least 💀 #gospelbygenz #fyp #millennial #fypシ #funny #xyzbca #influencer ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
7274073629921430827,2023-09-01T21:00:55,60,US,6131,255,91,49900,Replying to @cindylallybroch he caught doin the least 💀 #gospelbygenz #fyp #millennial #fypシ #funny #xyzbca #influencer ,False,,gen.z.bible.stories,Gen Z Bible Stories,,,,,,False
